freq_hz,gain_mag,gain_db
2.818382930000000215e+03,9.998432426688402819e-01,-1.361683608143663717e-03
2.884031500000000051e+03,9.998358572210005457e-01,-1.425843087399570209e-03
2.951209229999999934e+03,9.998281234576626986e-01,-1.493028990120076616e-03
3.019951720000000023e+03,9.998200247352583281e-01,-1.563385976750591468e-03
3.090295430000000124e+03,9.998115451786347974e-01,-1.637052040159786689e-03
3.162277660000000196e+03,9.998026667213257834e-01,-1.714184218840992743e-03
3.235936569999999847e+03,9.997933691312481663e-01,-1.794958375087306627e-03
3.311311209999999846e+03,9.997836340646546471e-01,-1.879533976743098583e-03
3.388441560000000209e+03,9.997734400939517485e-01,-1.968097294733980093e-03
3.467368500000000040e+03,9.997627667617835501e-01,-2.060826183529691422e-03
3.548133890000000065e+03,9.997515906159890609e-01,-2.157924530028363947e-03
3.630780549999999948e+03,9.997398882685363253e-01,-2.259595679473441147e-03
3.715352289999999812e+03,9.997276344338560383e-01,-2.366059479929219847e-03
3.801893959999999879e+03,9.997148039858393398e-01,-2.477534412480501998e-03
3.890451450000000023e+03,9.997013690095903904e-01,-2.594263208182228699e-03
3.981071710000000166e+03,9.996873008638444968e-01,-2.716494931512737892e-03
4.073802779999999984e+03,9.996725712316575363e-01,-2.844475853179883468e-03
4.168693830000000162e+03,9.996571481846753260e-01,-2.978483648564365059e-03
4.265795189999999820e+03,9.996409992535900679e-01,-3.118800722695651718e-03
4.365158319999999549e+03,9.996240894903450913e-01,-3.265731050426682811e-03
4.466835920000000442e+03,9.996063835367166028e-01,-3.419582205891425440e-03
4.570881900000000314e+03,9.995878447055153160e-01,-3.580673349075937789e-03
4.677351410000000214e+03,9.995684330489975622e-01,-3.749352014257548334e-03
4.786300919999999678e+03,9.995481074458045789e-01,-3.925975980485892081e-03
4.897788190000000213e+03,9.995268256901510551e-01,-4.110912500727063532e-03
5.011872339999999895e+03,9.995045415680272605e-01,-4.304563714636667517e-03
5.128613839999999982e+03,9.994812099541943162e-01,-4.507322361301143755e-03
5.248074599999999919e+03,9.994567799135573027e-01,-4.719631735491532434e-03
5.370317960000000312e+03,9.994312008006549508e-01,-4.941932688686694920e-03
5.495408739999999852e+03,9.994044183585377716e-01,-5.174697538634146637e-03
5.623413249999999607e+03,9.993763748368851285e-01,-5.418429052347679790e-03
5.754399370000000090e+03,9.993470130990871336e-01,-5.673624759420379388e-03
5.888436550000000352e+03,9.993162707545336643e-01,-5.940827958863773191e-03
6.025595860000000357e+03,9.992840822738559003e-01,-6.220609347258482594e-03
6.165950020000000222e+03,9.992503801203727054e-01,-6.513557196050858387e-03
6.309573440000000119e+03,9.992150928896245121e-01,-6.820293535590373109e-03
6.456542290000000321e+03,9.991781474643931515e-01,-7.141455436809268122e-03
6.606934479999999894e+03,9.991394641378358310e-01,-7.477737420615322012e-03
6.760829749999999876e+03,9.990989637886165120e-01,-7.829829101721972814e-03
6.918309710000000450e+03,9.990565590494632220e-01,-8.198491981324615777e-03
7.079457840000000033e+03,9.990121614556406460e-01,-8.584497323627872725e-03
7.244359599999999773e+03,9.989656786344209838e-01,-8.988650610167363622e-03
7.413102410000000418e+03,9.989170115044638809e-01,-9.411815916097302642e-03
7.585775749999999789e+03,9.988660584301342071e-01,-9.854879817382762586e-03
7.762471169999999802e+03,9.988127124691457137e-01,-1.031877535118185495e-02
