FREQ,Re(V(VBN)),Im(V(VBN)),Re(V(XOTA:TAIL)),Im(V(XOTA:TAIL)),Re(V(XOTA:D)),Im(V(XOTA:D)),Re(V(VSS)),Im(V(VSS)),Re(V(VDD)),Im(V(VDD)),Re(V(OUT)),Im(V(OUT)),Re(V(IN)),Im(V(IN))
6.60693448e+00,3.04784341e-18,3.41588832e-10,7.73569727e-01,-2.70450342e-09,-9.20948097e-03,-2.84934064e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.78588595e-09,1.00000000e+00,0.00000000e+00
6.76082975e+00,3.19148385e-18,3.49545458e-10,7.73569727e-01,-2.76749940e-09,-9.20948097e-03,-2.91571031e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.87407056e-09,1.00000000e+00,0.00000000e+00
6.91830971e+00,3.34189385e-18,3.57687418e-10,7.73569727e-01,-2.83196274e-09,-9.20948097e-03,-2.98362593e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.96430925e-09,1.00000000e+00,0.00000000e+00
7.07945784e+00,3.49939245e-18,3.66019028e-10,7.73569727e-01,-2.89792763e-09,-9.20948097e-03,-3.05312351e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.05664988e-09,1.00000000e+00,0.00000000e+00
7.24435960e+00,3.66431374e-18,3.74544707e-10,7.73569727e-01,-2.96542903e-09,-9.20948097e-03,-3.12423989e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.15114139e-09,1.00000000e+00,0.00000000e+00
7.41310241e+00,3.83700752e-18,3.83268974e-10,7.73569727e-01,-3.03450275e-09,-9.20948097e-03,-3.19701279e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.24783390e-09,1.00000000e+00,0.00000000e+00
7.58577575e+00,4.01784012e-18,3.92196455e-10,7.73569727e-01,-3.10518540e-09,-9.20948097e-03,-3.27148078e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.34677866e-09,1.00000000e+00,0.00000000e+00
7.76247117e+00,4.20719509e-18,4.01331884e-10,7.73569727e-01,-3.17751446e-09,-9.20948097e-03,-3.34768336e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.44802814e-09,1.00000000e+00,0.00000000e+00
7.94328235e+00,4.40547408e-18,4.10680105e-10,7.73569727e-01,-3.25152828e-09,-9.20948097e-03,-3.42566092e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.55163603e-09,1.00000000e+00,0.00000000e+00
8.12830516e+00,4.61309768e-18,4.20246073e-10,7.73569727e-01,-3.32726610e-09,-9.20948097e-03,-3.50545481e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.65765725e-09,1.00000000e+00,0.00000000e+00
8.31763771e+00,4.83050628e-18,4.30034862e-10,7.73569727e-01,-3.40476808e-09,-9.20948097e-03,-3.58710734e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.76614802e-09,1.00000000e+00,0.00000000e+00
8.51138038e+00,5.05816102e-18,4.40051660e-10,7.73569727e-01,-3.48407532e-09,-9.20948097e-03,-3.67066181e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-4.87716587e-09,1.00000000e+00,0.00000000e+00
