TIME,V(IN),V(OUT),V(VSS),V(VDD),V(A)
9.72932731e-07,1.33074997e+00,-2.10852391e-05,0.00000000e+00,3.30000000e+00,3.05881839e+00
9.76701734e-07,1.35413495e+00,-2.52951226e-05,0.00000000e+00,3.30000000e+00,3.03623188e+00
9.84239742e-07,1.40113713e+00,-2.96726429e-05,0.00000000e+00,3.30000000e+00,2.98345377e+00
9.91777749e-07,1.44836105e+00,-4.22201940e-05,0.00000000e+00,3.30000000e+00,2.91646342e+00
9.99315756e-07,1.49570078e+00,-6.31284458e-05,0.00000000e+00,3.30000000e+00,2.82410342e+00
1.00053187e-06,1.50334184e+00,-7.09593398e-05,0.00000000e+00,3.30000000e+00,2.80517650e+00
1.00174799e-06,1.51098271e+00,-8.70574818e-05,0.00000000e+00,3.30000000e+00,2.78462835e+00
1.00418022e-06,1.52626206e+00,-1.06361397e-04,0.00000000e+00,3.30000000e+00,2.73615544e+00
1.00661245e-06,1.54153529e+00,-1.48827709e-04,0.00000000e+00,3.30000000e+00,2.67256533e+00
1.00904468e-06,1.55679881e+00,-9.26280260e-06,0.00000000e+00,3.30000000e+00,2.57271264e+00
1.00933265e-06,1.55860518e+00,8.35353897e-05,0.00000000e+00,3.30000000e+00,2.55618283e+00
1.00962062e-06,1.56041135e+00,2.24311457e-04,0.00000000e+00,3.30000000e+00,2.53848405e+00
1.01019657e-06,1.56402309e+00,9.81828359e-04,0.00000000e+00,3.30000000e+00,2.49548684e+00
1.01077251e-06,1.56763400e+00,3.09916325e-03,0.00000000e+00,3.30000000e+00,2.44078237e+00
1.01134845e-06,1.57124402e+00,8.40787767e-03,0.00000000e+00,3.30000000e+00,2.37188192e+00
1.01192439e-06,1.57485310e+00,1.96543101e-02,0.00000000e+00,3.30000000e+00,2.28721592e+00
1.01250034e-06,1.57846121e+00,4.04132202e-02,0.00000000e+00,3.30000000e+00,2.18644123e+00
1.01307628e-06,1.58206829e+00,7.57242398e-02,0.00000000e+00,3.30000000e+00,2.07008500e+00
1.01365222e-06,1.58567429e+00,1.34517745e-01,0.00000000e+00,3.30000000e+00,1.93942354e+00
1.01422817e-06,1.58927917e+00,2.36621516e-01,0.00000000e+00,3.30000000e+00,1.79686189e+00
1.01430170e-06,1.58973934e+00,2.55083448e-01,0.00000000e+00,3.30000000e+00,1.77788762e+00
1.01437523e-06,1.59019949e+00,2.75036621e-01,0.00000000e+00,3.30000000e+00,1.75891253e+00
1.01452230e-06,1.59111972e+00,3.22180281e-01,0.00000000e+00,3.30000000e+00,1.72078272e+00
1.01466936e-06,1.59203988e+00,3.81706112e-01,0.00000000e+00,3.30000000e+00,1.68243090e+00
1.01481643e-06,1.59295996e+00,4.62690978e-01,0.00000000e+00,3.30000000e+00,1.64407167e+00
1.01496350e-06,1.59387996e+00,5.91211931e-01,0.00000000e+00,3.30000000e+00,1.60610070e+00
1.01497976e-06,1.59398172e+00,6.11029510e-01,0.00000000e+00,3.30000000e+00,1.60198865e+00
1.01499603e-06,1.59408347e+00,6.32077273e-01,0.00000000e+00,3.30000000e+00,1.59790124e+00
1.01502856e-06,1.59428698e+00,6.81631304e-01,0.00000000e+00,3.30000000e+00,1.59002968e+00
1.01506110e-06,1.59449048e+00,7.42693701e-01,0.00000000e+00,3.30000000e+00,1.58266286e+00
1.01509363e-06,1.59469398e+00,8.17037286e-01,0.00000000e+00,3.30000000e+00,1.57593075e+00
1.01512616e-06,1.59489748e+00,9.05171521e-01,0.00000000e+00,3.30000000e+00,1.56989350e+00
1.01515870e-06,1.59510097e+00,1.00625965e+00,0.00000000e+00,3.30000000e+00,1.56453026e+00
1.01519123e-06,1.59530446e+00,1.11864520e+00,0.00000000e+00,3.30000000e+00,1.55977042e+00
1.01522377e-06,1.59550794e+00,1.24033633e+00,0.00000000e+00,3.30000000e+00,1.55552632e+00
1.01525630e-06,1.59571142e+00,1.36927977e+00,0.00000000e+00,3.30000000e+00,1.55171167e+00
1.01532137e-06,1.59611837e+00,1.64151401e+00,0.00000000e+00,3.30000000e+00,1.54491877e+00
1.01545150e-06,1.59693221e+00,2.21742985e+00,0.00000000e+00,3.30000000e+00,1.53116089e+00
1.01550285e-06,1.59725334e+00,2.43682449e+00,0.00000000e+00,3.30000000e+00,1.52484057e+00
